序号,公司名称,招聘链接,所属类型,数据来源
326,联合飞机,https://www.uatair.com/recruit,消费/外企,秋招信息源·27届官网名录
327,科华数据,https://kehua.com.cn/recruit,消费/外企,秋招信息源·27届官网名录
328,丹纳赫中国,https://www.danaher.com/cn/careers/campus,消费/外企,秋招信息源·27届官网名录
329,碧桂园服务,https://bgyfw.zhiye.com,消费/外企,秋招信息源·27届官网名录
330,拼多多,https://careers.pinduoduo.com,互联网,秋招信息源·27届官网名录
331,网易（含网易互娱）,https://campus.163.com,互联网,秋招信息源·27届官网名录
332,网易游戏,https://game.campus.163.com,互联网,秋招信息源·27届官网名录
333,搜狐畅游,https://campus.changyou.com,互联网,秋招信息源·27届官网名录
334,三七互娱,https://app.mokahr.com/campus_apply/sanqi,互联网,秋招信息源·27届官网名录
335,巨人网络,https://ztgame.zhiye.com,互联网,秋招信息源·27届官网名录
336,深信服,https://career.sangfor.com,互联网,秋招信息源·27届官网名录
337,OPPO,https://careers.oppo.com,互联网,秋招信息源·27届官网名录
338,vivo,https://career.vivo.com.cn,互联网,秋招信息源·27届官网名录
339,影石Insta360,https://insta360.zhiye.com,互联网,秋招信息源·27届官网名录
340,腾讯音乐,https://join.tencentmusic.com,互联网,秋招信息源·27届官网名录
341,贝壳找房,https://campus.ke.com,互联网,秋招信息源·27届官网名录
342,得物,https://campus.dewu.com,互联网,秋招信息源·27届官网名录
343,理想汽车,https://career.lixiang.com,互联网,秋招信息源·27届官网名录
344,小鹏汽车,https://campus.xiaopeng.com,互联网,秋招信息源·27届官网名录
345,蔚来,https://campus.nio.com,互联网,秋招信息源·27届官网名录
346,云从科技,https://www.cloudwalk.com/campus,互联网,秋招信息源·27届官网名录
347,依图科技,https://www.yitutech.com/campus,互联网,秋招信息源·27届官网名录
348,DeepSeek深度求索,https://app.mokahr.com/campus_apply/deepseek,互联网,秋招信息源·27届官网名录
349,菜鸟,https://campus.cainiao.com,互联网,秋招信息源·27届官网名录
350,高德,https://campus.amap.com,互联网,秋招信息源·27届官网名录
351,有赞,https://campus.youzan.com,互联网,秋招信息源·27届官网名录
352,喜马拉雅,https://job.ximalaya.com,互联网,秋招信息源·27届官网名录
353,阅文集团,https://campus.yuewen.com,互联网,秋招信息源·27届官网名录
354,中科芯,https://csic58.zhiye.com,半导体/硬件,秋招信息源·27届官网名录
355,国电南自,https://sac.hotjob.cn,半导体/硬件,秋招信息源·27届官网名录
356,芯原股份,https://www.verisilicon.com/campus,半导体/硬件,秋招信息源·27届官网名录
357,景嘉微,https://www.jingjiawei.com/campus,半导体/硬件,秋招信息源·27届官网名录
358,瑞芯微,https://rockchip.zhiye.com,半导体/硬件,秋招信息源·27届官网名录
359,安路科技,https://anlogic.zhiye.com,半导体/硬件,秋招信息源·27届官网名录
360,概伦电子,https://www.goldenengin.com/campus,半导体/硬件,秋招信息源·27届官网名录
361,上汽集团,https://saic.zhiye.com,半导体/硬件,秋招信息源·27届官网名录
362,上汽通用五菱,https://sgmw.zhiye.com,半导体/硬件,秋招信息源·27届官网名录
363,长城汽车,https://campus.gwm.com.cn,半导体/硬件,秋招信息源·27届官网名录
364,比亚迪,https://career.byd.com,半导体/硬件,秋招信息源·27届官网名录
365,中创新航,https://campus.avicli.com,半导体/硬件,秋招信息源·27届官网名录
366,亿纬锂能,https://eve.zhiye.com,半导体/硬件,秋招信息源·27届官网名录
367,璞泰来,https://www.pulte.com/campus,半导体/硬件,秋招信息源·27届官网名录
368,容百科技,https://ronbay.zhiye.com,半导体/硬件,秋招信息源·27届官网名录
369,禾望电气,https://hopewind.zhiye.com,半导体/硬件,秋招信息源·27届官网名录
370,四方继保,https://sf-auto.zhiye.com,半导体/硬件,秋招信息源·27届官网名录
371,华大半导体,https://hdsc.zhiye.com,半导体/硬件,秋招信息源·27届官网名录
372,量旋科技,https://quantum.zhiye.com,半导体/硬件,秋招信息源·27届官网名录
373,琻捷电子,https://sensat.zhiye.com,半导体/硬件,秋招信息源·27届官网名录
374,积海半导体,https://jihaisemi.zhiye.com,半导体/硬件,秋招信息源·27届官网名录
375,灵感机器人,https://inspire-robotics.zhiye.com,半导体/硬件,秋招信息源·27届官网名录
376,国家电投,https://spic.zhiye.com,央企/能源,秋招信息源·27届官网名录
377,中广核,https://cgn.hotjob.cn,央企/能源,秋招信息源·27届官网名录
378,中国五矿,https://minmetals.hotjob.cn,央企/能源,秋招信息源·27届官网名录
379,中国中化,https://sinochem.zhiye.com,央企/能源,秋招信息源·27届官网名录
380,中国核建,https://cnnc.zhiye.com,央企/能源,秋招信息源·27届官网名录
381,中国物流集团,https://chinalogisticsgroup.hotjob.cn,央企/能源,秋招信息源·27届官网名录
382,中盐集团,https://salt.zhiye.com,央企/能源,秋招信息源·27届官网名录
383,中国融通集团,https://rongtong.zhiye.com,央企/能源,秋招信息源·27届官网名录
384,兵器工业,https://www.norincogroup.com.cn/recruit,央企/能源,秋招信息源·27届官网名录
385,兵器装备,https://www.csgc.com.cn/recruit,央企/能源,秋招信息源·27届官网名录
386,中国交建,https://ccccltd.zhiye.com,央企/能源,秋招信息源·27届官网名录
387,中国中铁,https://crec.zhiye.com,央企/能源,秋招信息源·27届官网名录
388,中国铁建,https://crcc.zhiye.com,央企/能源,秋招信息源·27届官网名录
389,中国建筑,https://cscec.zhiye.com,央企/能源,秋招信息源·27届官网名录
390,中国建材,https://cnbm.zhiye.com,央企/能源,秋招信息源·27届官网名录
391,中国大唐,https://zhaopin.cdt-ec.com,央企/能源,秋招信息源·27届官网名录
392,中国电建,https://powerchina.zhiye.com,央企/能源,秋招信息源·27届官网名录
393,国投集团,https://sdic.zhiye.com,央企/能源,秋招信息源·27届官网名录
394,中国有色,https://cnmc.hotjob.cn,央企/能源,秋招信息源·27届官网名录
395,光电股份,https://gfgf.zhiye.com,央企/能源,秋招信息源·27届官网名录
396,国家开发银行,https://www.cdb.com.cn/recruit,金融,秋招信息源·27届官网名录
397,华泰证券,https://job.htsc.com.cn,金融,秋招信息源·27届官网名录
398,财通证券,https://ctsec.zhiye.com,金融,秋招信息源·27届官网名录
399,东北证券,https://nesc.cn/recruit,金融,秋招信息源·27届官网名录
400,民生银行,https://career.cmbc.com.cn,金融,秋招信息源·27届官网名录
401,招商银行,https://career.cmbchina.com,金融,秋招信息源·27届官网名录
402,兴业银行,https://www.cib.com.cn/recruit,金融,秋招信息源·27届官网名录
403,浦发银行,https://spdb.zhiye.com,金融,秋招信息源·27届官网名录
404,光大银行,https://cebbank.zhiye.com,金融,秋招信息源·27届官网名录
405,江苏银行,https://jsb.zhiye.com,金融,秋招信息源·27届官网名录
406,民泰银行,https://mintai.bank/recruit,金融,秋招信息源·27届官网名录
407,三峡银行,https://cccb.zhiye.com,金融,秋招信息源·27届官网名录
408,壳牌中国,https://www.shell.com.cn/careers/campus,消费/外企,秋招信息源·27届官网名录
409,联合利华,https://www.unilever.com.cn/campus,消费/外企,秋招信息源·27届官网名录
410,宝洁中国,https://www.pg.com.cn/campus,消费/外企,秋招信息源·27届官网名录
411,牧原股份,https://muyuan.zhiye.com,消费/外企,秋招信息源·27届官网名录
412,海大集团,https://haid.zhiye.com,消费/外企,秋招信息源·27届官网名录
413,红星美凯龙,https://job.mmall.com,消费/外企,秋招信息源·27届官网名录
414,华夏航空,https://hxhk.zhiye.com,消费/外企,秋招信息源·27届官网名录
415,养生堂,https://yangshengtang.zhiye.com,消费/外企,秋招信息源·27届官网名录
416,恒瑞医药,https://hengrui.zhiye.com,消费/外企,秋招信息源·27届官网名录
417,药明康德,https://wuxi-apptec.zhiye.com,消费/外企,秋招信息源·27届官网名录
